Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Sc3Al13N16,xtal_54,-203.2751922607422,-6.352349758148193,db://6/xtal_54.cif,6
Sc6Al26N32,xtal_57,-411.71820068359375,-6.433096885681152,db://6/xtal_57.cif,6
Sc6Al26N32,xtal_58,-386.55963134765625,-6.039994239807129,db://6/xtal_58.cif,6
Sc6Al26N32,xtal_6,-402.74945068359375,-6.292960166931152,db://6/xtal_6.cif,6
Sc6Al26N32,xtal_61,-421.2622985839844,-6.582223415374756,db://6/xtal_61.cif,6
Sc3Al13N16,xtal_62,-207.9589385986328,-6.498716831207275,db://6/xtal_62.cif,6
Sc3Al13N16,xtal_63,-207.32595825195312,-6.478936195373535,db://6/xtal_63.cif,6
Sc3Al13N16,xtal_64,-202.70106506347656,-6.334408283233643,db://6/xtal_64.cif,6
Sc6Al26N32,xtal_65,-419.1429138183594,-6.549108028411865,db://6/xtal_65.cif,6
Sc6Al26N32,xtal_68,-412.8689880371094,-6.451077938079834,db://6/xtal_68.cif,6
Sc3Al13N16,xtal_70,-212.11390686035156,-6.628559589385986,db://6/xtal_70.cif,6
Sc3Al13N16,xtal_72,-206.10630798339844,-6.440822124481201,db://6/xtal_72.cif,6
Sc3Al13N16,xtal_76,-217.2572479248047,-6.7892889976501465,db://6/xtal_76.cif,6
Sc3Al13N16,xtal_77,-204.01559448242188,-6.375487327575684,db://6/xtal_77.cif,6
Sc3Al13N16,xtal_78,-207.24267578125,-6.4763336181640625,db://6/xtal_78.cif,6
Sc3Al13N16,xtal_79,-199.1643829345703,-6.223886966705322,db://6/xtal_79.cif,6
Sc6Al26N32,xtal_8,-422.8050842285156,-6.606329441070557,db://6/xtal_8.cif,6
Sc3Al13N16,xtal_80,-205.50267028808594,-6.4219584465026855,db://6/xtal_80.cif,6
Sc6Al26N32,xtal_83,-415.17218017578125,-6.487065315246582,db://6/xtal_83.cif,6
Sc3Al13N16,xtal_84,-212.9152374267578,-6.653601169586182,db://6/xtal_84.cif,6
Sc3Al13N16,xtal_85,-202.78207397460938,-6.336939811706543,db://6/xtal_85.cif,6
Sc6Al26N32,xtal_86,-424.7065734863281,-6.636040210723877,db://6/xtal_86.cif,6
Sc6Al26N32,xtal_87,-424.3061828613281,-6.629784107208252,db://6/xtal_87.cif,6
Sc3Al13N16,xtal_89,-208.43609619140625,-6.513628005981445,db://6/xtal_89.cif,6
Sc6Al26N32,xtal_94,-405.605224609375,-6.337581634521484,db://6/xtal_94.cif,6
Sc3Al13N16,xtal_97,-201.9967803955078,-6.312399387359619,db://6/xtal_97.cif,6
Sc6Al26N32,xtal_1,-434.3887634277344,-6.78732442855835,db://7/xtal_1.cif,7
Sc6Al26N32,xtal_10,-423.1654052734375,-6.611959457397461,db://7/xtal_10.cif,7
Sc6Al26N32,xtal_11,-418.5213623046875,-6.539396286010742,db://7/xtal_11.cif,7
Sc6Al26N32,xtal_13,-419.8032531738281,-6.5594258308410645,db://7/xtal_13.cif,7
Sc6Al26N32,xtal_14,-419.826171875,-6.559783935546875,db://7/xtal_14.cif,7
Sc6Al26N32,xtal_15,-432.59405517578125,-6.759282112121582,db://7/xtal_15.cif,7
Sc6Al26N32,xtal_16,-427.19427490234375,-6.674910545349121,db://7/xtal_16.cif,7
Sc6Al26N32,xtal_18,-416.1051940917969,-6.501643657684326,db://7/xtal_18.cif,7
Sc6Al26N32,xtal_19,-434.5260314941406,-6.789469242095947,db://7/xtal_19.cif,7
Sc6Al26N32,xtal_22,-440.79534912109375,-6.88742733001709,db://7/xtal_22.cif,7
Sc6Al26N32,xtal_28,-413.204833984375,-6.456325531005859,db://7/xtal_28.cif,7
Sc6Al26N32,xtal_29,-420.69793701171875,-6.5734052658081055,db://7/xtal_29.cif,7
Sc6Al26N32,xtal_3,-421.4961853027344,-6.585877895355225,db://7/xtal_3.cif,7
Sc6Al26N32,xtal_30,-412.5058288574219,-6.445403575897217,db://7/xtal_30.cif,7
Sc6Al26N32,xtal_32,-453.54962158203125,-7.086712837219238,db://7/xtal_32.cif,7
Sc6Al26N32,xtal_34,-417.37762451171875,-6.5215253829956055,db://7/xtal_34.cif,7
Sc6Al26N32,xtal_36,-414.4069519042969,-6.475108623504639,db://7/xtal_36.cif,7
Sc6Al26N32,xtal_37,-414.1556091308594,-6.471181392669678,db://7/xtal_37.cif,7
Sc6Al26N32,xtal_38,-412.2386169433594,-6.44122838973999,db://7/xtal_38.cif,7
Sc6Al26N32,xtal_4,-417.7216491699219,-6.526900768280029,db://7/xtal_4.cif,7
Sc6Al26N32,xtal_41,-424.3432312011719,-6.6303629875183105,db://7/xtal_41.cif,7
Sc6Al26N32,xtal_42,-434.1678161621094,-6.783872127532959,db://7/xtal_42.cif,7
Sc6Al26N32,xtal_44,-426.07012939453125,-6.657345771789551,db://7/xtal_44.cif,7
Sc6Al26N32,xtal_47,-417.4594421386719,-6.522803783416748,db://7/xtal_47.cif,7
Sc6Al26N32,xtal_49,-418.51806640625,-6.539344787597656,db://7/xtal_49.cif,7
Sc6Al26N32,xtal_5,-458.44921875,-7.16326904296875,db://7/xtal_5.cif,7
Sc6Al26N32,xtal_54,-419.3987121582031,-6.553104877471924,db://7/xtal_54.cif,7
Sc6Al26N32,xtal_58,-410.3453369140625,-6.411645889282227,db://7/xtal_58.cif,7
Sc6Al26N32,xtal_59,-416.21923828125,-6.503425598144531,db://7/xtal_59.cif,7
Sc6Al26N32,xtal_60,-426.26788330078125,-6.660435676574707,db://7/xtal_60.cif,7
Sc6Al26N32,xtal_62,-395.65997314453125,-6.182187080383301,db://7/xtal_62.cif,7
Sc6Al26N32,xtal_63,-427.87176513671875,-6.6854963302612305,db://7/xtal_63.cif,7
Sc6Al26N32,xtal_64,-420.98089599609375,-6.577826499938965,db://7/xtal_64.cif,7
Sc6Al26N32,xtal_65,-420.145751953125,-6.564777374267578,db://7/xtal_65.cif,7
Sc6Al26N32,xtal_67,-428.1754455566406,-6.69024133682251,db://7/xtal_67.cif,7
Sc6Al26N32,xtal_68,-404.6521301269531,-6.322689533233643,db://7/xtal_68.cif,7
