Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Th2H20,xtal_191,-61.32509994506836,-2.787504542957653,150.05413309733072,0.16572659727015868,0.16466119810084442,db://12/xtal_191.cif,12
Th2H20,xtal_20,-58.206539154052734,-2.64575177972967,149.98997497558594,0.3079620200885083,0.3081594403024936,db://12/xtal_20.cif,12
Th2H20,xtal_25,-61.285072326660156,-2.78568510575728,150.341064453125,0.17156402778557253,0.16485519835061366,db://12/xtal_25.cif,12
Th2H20,xtal_26,-60.46104431152344,-2.748229286887429,149.99870808919272,0.3211587360857777,0.3211851721505221,db://12/xtal_26.cif,12
Th2H20,xtal_42,-58.53255081176758,-2.660570491443981,150.71357218424478,0.566330836094853,0.5510526697342325,db://12/xtal_42.cif,12
Th2H20,xtal_54,-58.96111297607422,-2.680050589821555,152.52510579427084,0.39162716342901016,0.3407744775549369,db://12/xtal_54.cif,12
Th2H20,xtal_58,-59.973175048828125,-2.726053411310369,149.8051300048828,0.2636164277564907,0.2675054597737652,db://12/xtal_58.cif,12
Th2H20,xtal_68,-61.32441711425781,-2.787473505193537,149.97795613606772,0.16406211163076473,0.16449593038123184,db://12/xtal_68.cif,12
Th2H20,xtal_71,-57.265625,-2.6029829545454546,149.9336395263672,0.3780747061084833,0.379394119142894,db://12/xtal_71.cif,12
Th2H20,xtal_87,-58.731510162353516,-2.6696140982887964,149.19873046875,0.3163013975221221,0.33233721164844704,db://12/xtal_87.cif,12
Th2H20,xtal_9,-61.352867126464844,-2.788766687566584,149.69037882486978,0.15890405922413917,0.16500105281639987,db://12/xtal_9.cif,12
Th2H20,xtal_91,-57.971839904785156,-2.635083632035689,150.87181599934897,0.41921459681834766,0.40156526950654775,db://12/xtal_91.cif,12
Th2H20,xtal_13,-60.201255798339844,-2.7364207181063565,149.95919799804688,0.24247010693057677,0.2432806254641774,db://13/xtal_13.cif,13
Th2H20,xtal_137,-61.52061080932617,-2.796391400423917,150.0926767985026,0.1686539512440061,0.16682314299626935,db://13/xtal_137.cif,13
Th2H20,xtal_138,-58.89508056640625,-2.6770491166548296,149.9489949544271,0.2554799762207603,0.25647747393704345,db://13/xtal_138.cif,13
Th2H20,xtal_146,-58.92449188232422,-2.678385994651101,149.79263814290366,0.2673044274272743,0.27138222353211594,db://13/xtal_146.cif,13
Th2H20,xtal_157,-60.21324920654297,-2.73696587302468,149.92040506998697,0.2534129903094941,0.25500062607013935,db://13/xtal_157.cif,13
Th2H20,xtal_17,-59.96061325073242,-2.7254824204878374,150.9507293701172,0.23935460512598247,0.22068124296586591,db://13/xtal_17.cif,13
Th2H20,xtal_195,-59.14054489135742,-2.688206585970792,150.19459533691406,0.34517747641122815,0.3412473590039748,db://13/xtal_195.cif,13
Th2H20,xtal_35,-57.61880111694336,-2.619036414406516,149.22076924641928,0.3920824828743964,0.40780654366900765,db://13/xtal_35.cif,13
Th2H20,xtal_55,-60.27783966064453,-2.73990180275657,149.84011840820312,0.2597684844504897,0.2629691763978754,db://13/xtal_55.cif,13
Th2H20,xtal_73,-61.49413299560547,-2.7951878634366123,150.19305928548178,0.17090396694745957,0.16709133025058762,db://13/xtal_73.cif,13
Th2H20,xtal_76,-59.44706344604492,-2.7021392475474966,149.8965301513672,0.2704514649312234,0.2725033704073334,db://13/xtal_76.cif,13
Th2H20,xtal_78,-60.431396484375,-2.7468816583806817,150.4801788330078,0.2931964103282296,0.28349559025607074,db://13/xtal_78.cif,13
Th2H20,xtal_112,-61.345516204833984,-2.788432554765181,149.71326192220053,0.15891188814264012,0.16455678472242014,db://14/xtal_112.cif,14
Th2H20,xtal_12,-58.2100715637207,-2.6459123438054863,149.8930409749349,0.30608687439634835,0.3081933294813752,db://14/xtal_12.cif,14
Th2H20,xtal_120,-60.27978515625,-2.739990234375,149.85957845052084,0.26023143182112496,0.26304270207494657,db://14/xtal_120.cif,14
Th2H20,xtal_122,-57.92845153808594,-2.633111433549361,150.68922424316406,0.3832489017981441,0.3694526354779643,db://14/xtal_122.cif,14
Th2H20,xtal_136,-57.434104919433594,-2.610641132701527,149.87523905436197,0.36810849956494707,0.3705881060915842,db://14/xtal_136.cif,14
Th2H20,xtal_176,-60.21607208251953,-2.73709418556907,149.6618398030599,0.23513782363064709,0.24185356735600305,db://14/xtal_176.cif,14
Th2H20,xtal_180,-60.33317947387695,-2.742417248812589,150.10369873046875,0.28312077000406466,0.2810305853238084,db://14/xtal_180.cif,14
Th2H20,xtal_188,-56.6683349609375,-2.575833407315341,149.66546122233072,0.4012600225165231,0.40791455181733277,db://14/xtal_188.cif,14
Th2H20,xtal_191,-61.595787048339844,-2.7998085021972656,149.25440979003906,0.15214274608503137,0.16688901692619038,db://14/xtal_191.cif,14
Th2H20,xtal_192,-61.515968322753906,-2.7961803783069956,150.19401041666666,0.1706342504659375,0.1668019209295987,db://14/xtal_192.cif,14
