CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path
xtal_1,-54.6609001159668,-2.4845863689075816,148.3515167236328,0.5108682207038581,0.5441537367885424,db://103/xtal_1.cif
xtal_102,-56.74863052368164,-2.5794832056218926,149.39363606770834,0.3849643658213809,0.3969965656781279,db://103/xtal_102.cif
xtal_108,-59.19273376464844,-2.69057880748402,149.48919677734375,0.2508616703225919,0.2609125456213136,db://103/xtal_108.cif
xtal_112,-59.92691421508789,-2.723950646140359,150.35018920898438,0.27337484181415755,0.2663935999067295,db://103/xtal_112.cif
xtal_116,-58.43014907836914,-2.655915867198597,149.79360961914062,0.3392970213447025,0.3434239205521729,db://103/xtal_116.cif
xtal_117,-56.56546401977539,-2.571157455444336,150.0323740641276,0.5212182506748168,0.5205509762279449,db://103/xtal_117.cif
xtal_122,-56.59454345703125,-2.572479248046875,150.336669921875,0.4036270547381177,0.3969622438375503,db://103/xtal_122.cif
xtal_129,-59.16496658325195,-2.689316662875089,149.99942016601562,0.33686073381167153,0.3368724317268728,db://103/xtal_129.cif
xtal_136,-56.03949737548828,-2.5472498807040127,150.68366495768228,0.5345338365154749,0.5205515144422064,db://103/xtal_136.cif
xtal_141,-56.00654602050781,-2.545752091841264,149.9006144205729,0.4003015074581061,0.4022547699255177,db://103/xtal_141.cif
xtal_142,-60.58059310913086,-2.753663323142312,149.4079335530599,0.2489955468177217,0.26089433643506854,db://103/xtal_142.cif
xtal_147,-56.727108001708984,-2.5785049091685903,150.10376993815103,0.39957588389703796,0.3975170731167855,db://103/xtal_147.cif
xtal_15,-53.36784744262695,-2.4258112473921343,150.52118937174478,0.5979707235522498,0.5875006825413625,db://103/xtal_15.cif
xtal_160,-59.19705581665039,-2.6907752643931997,150.02327982584634,0.2536252929158875,0.2531683962777417,db://103/xtal_160.cif
xtal_163,-56.673526763916016,-2.576069398359819,149.9180450439453,0.3952286584299087,0.3968529632399014,db://103/xtal_163.cif
