filename,filepath,tsne_dim1,tsne_dim2
xtal_64.cif,./Al13Sc3N16/__initial__/4/xtal_64.cif,27.081814,-61.93652
xtal_65.cif,./Al13Sc3N16/__initial__/4/xtal_65.cif,62.50323,-12.311186
xtal_66.cif,./Al13Sc3N16/4/xtal_66.cif,47.2295,-20.971191
xtal_67.cif,./Al13Sc3N16/__initial__/4/xtal_67.cif,8.683447,-56.028004
xtal_68.cif,./Al13Sc3N16/4/xtal_68.cif,72.74876,-24.646334
xtal_69.cif,./Al13Sc3N16/4/xtal_69.cif,-74.58321,-50.464348
xtal_7.cif,./Al13Sc3N16/4/xtal_7.cif,10.423779,1.9114546
xtal_70.cif,./Al13Sc3N16/4/xtal_70.cif,16.232134,-87.913536
xtal_71.cif,./Al13Sc3N16/4/xtal_71.cif,88.05689,14.624544
xtal_72.cif,./Al13Sc3N16/4/xtal_72.cif,-1.18492,-0.036396585
xtal_73.cif,./Al13Sc3N16/4/xtal_73.cif,42.996346,-38.480656
xtal_74.cif,./Al13Sc3N16/__initial__/4/xtal_74.cif,26.314554,-63.66518
xtal_75.cif,./Al13Sc3N16/__initial__/4/xtal_75.cif,14.284579,52.595406
xtal_76.cif,./Al13Sc3N16/__initial__/4/xtal_76.cif,30.977388,14.669996
xtal_77.cif,./Al13Sc3N16/__initial__/4/xtal_77.cif,66.4876,25.358698
xtal_78.cif,./Al13Sc3N16/4/xtal_78.cif,84.84754,13.189206
xtal_79.cif,./Al13Sc3N16/4/xtal_79.cif,27.191875,-61.77523
xtal_8.cif,./Al13Sc3N16/4/xtal_8.cif,-92.54601,-33.33499
xtal_80.cif,./Al13Sc3N16/4/xtal_80.cif,-0.781659,-63.638878
xtal_81.cif,./Al13Sc3N16/__initial__/4/xtal_81.cif,60.05573,11.355099
xtal_82.cif,./Al13Sc3N16/__initial__/4/xtal_82.cif,48.855583,-52.492905
xtal_83.cif,./Al13Sc3N16/4/xtal_83.cif,92.29042,-20.005144
xtal_84.cif,./Al13Sc3N16/4/xtal_84.cif,40.81887,67.800835
xtal_85.cif,./Al13Sc3N16/4/xtal_85.cif,7.6234355,-56.38769
xtal_86.cif,./Al13Sc3N16/4/xtal_86.cif,-29.102072,-54.175316
xtal_87.cif,./Al13Sc3N16/4/xtal_87.cif,18.370726,-66.12674
xtal_88.cif,./Al13Sc3N16/__initial__/4/xtal_88.cif,77.03396,5.465731
xtal_89.cif,./Al13Sc3N16/__initial__/4/xtal_89.cif,23.441015,52.593838
xtal_9.cif,./Al13Sc3N16/4/xtal_9.cif,28.371052,-64.159706
xtal_90.cif,./Al13Sc3N16/4/xtal_90.cif,19.822414,-60.33663
xtal_91.cif,./Al13Sc3N16/__initial__/4/xtal_91.cif,80.980896,46.53709
xtal_92.cif,./Al13Sc3N16/4/xtal_92.cif,15.470224,-42.02109
xtal_93.cif,./Al13Sc3N16/__initial__/4/xtal_93.cif,56.29595,-29.11956
xtal_94.cif,./Al13Sc3N16/__initial__/4/xtal_94.cif,74.23265,39.692528
xtal_95.cif,./Al13Sc3N16/__initial__/4/xtal_95.cif,49.174435,57.289017
xtal_96.cif,./Al13Sc3N16/__initial__/4/xtal_96.cif,-66.16765,-46.88687
xtal_97.cif,./Al13Sc3N16/__initial__/4/xtal_97.cif,55.043316,-16.050383
xtal_98.cif,./Al13Sc3N16/4/xtal_98.cif,27.100891,-46.0698
xtal_99.cif,./Al13Sc3N16/__initial__/4/xtal_99.cif,-46.813137,-47.466278
